Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Jocelyn Thibault,PIT,30,16,4.46,0.876,1,9,60,424,484,0,807,0,0,0,2
David LeNeveu,PHX,22,15,3.24,0.886,3,8,44,342,386,0,814,0,0,0,0
Brian Boucher,CGY,28,14,4.15,0.871,4,8,48,323,371,0,694,0,0,0,2
Dan Cloutier,VAN,29,13,3.17,0.892,8,3,36,298,334,0,681,0,0,0,4
Scott Clemmensen,NJD,28,13,3.35,0.881,3,4,35,260,295,0,627,0,0,0,0
Philippe Sauve,PHX,25,13,3.97,0.882,3,7,39,291,330,0,589,0,0,0,21
Reinhard Divis,STL,30,12,4.67,0.84,0,5,37,194,231,0,475,0,0,0,0
Jean-Sebastien Aubin,TOR,28,11,2.21,0.924,9,0,25,305,330,1,677,0,0,0,0
Adam Munro,CHI,23,10,3.0,0.893,3,5,25,209,234,1,501,0,1,1,0
Adam Berkhoel,ATL,24,9,3.8,0.882,2,4,30,225,255,0,473,0,0,0,0
Martin Prusek,CBJ,30,9,3.21,0.879,3,3,20,145,165,0,373,0,0,0,0
Vitaly Kolesnik,COL,26,8,3.24,0.888,3,3,20,158,178,0,370,0,1,1,2
Mika Noronen,VAN,26,8,3.89,0.857,2,3,22,132,154,0,339,0,0,0,2
Nolan Schaefer,SJS,25,7,1.87,0.92,5,1,11,127,138,1,352,0,0,0,2
Wade Dubielewicz,NYI,26,7,2.9,0.897,2,3,15,130,145,0,310,0,0,0,0
Yann Danis,MTL,24,6,2.69,0.908,3,2,14,138,152,1,312,0,0,0,0
Steve Shields,ATL,33,5,4.28,0.853,1,2,19,110,129,0,266,0,0,0,0
Maxime Ouellet,VAN,24,4,3.25,0.894,0,2,12,101,113,0,222,0,0,0,2
Jim Howard,DET,21,4,2.99,0.904,1,2,10,94,104,0,201,0,0,0,0
Josh Harding,MIN,21,3,2.59,0.904,2,1,8,75,83,1,185,0,0,0,0
Corey Crawford,CHI,21,2,3.47,0.878,0,0,5,36,41,0,86,0,0,0,0
Pekka Rinne,NSH,23,2,3.8,0.9,1,1,4,36,40,0,63,0,0,0,0
Gerald Coleman,TBL,20,2,2.77,0.882,0,0,2,15,17,0,43,0,0,0,0
Brian Finley,NSH,24,1,7.0,0.829,0,1,7,34,41,0,60,0,0,0,0
Frederic Cassivi,WSH,30,1,4.09,0.867,0,1,4,26,30,0,59,0,0,0,0
Brian Eklund,TBL,25,1,3.09,0.842,0,1,3,16,19,0,58,0,0,0,0
Adam Hauser,LAK,25,1,7.08,0.75,0,0,6,18,24,0,51,0,0,0,0
Dany Sabourin,PIT,25,1,11.68,0.714,0,1,4,10,14,0,21,0,0,0,0
Chris Holt,NYR,20,1,0.0,1.0,0,0,0,2,2,0,10,0,0,0,0
Robert McVicar,VAN,23,1,0.0,,0,0,0,0,0,0,3,0,0,0,0
Jordan Sigalet,BOS,24,1,0.0,,0,0,0,0,0,0,1,0,0,0,0
